step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,overhead_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_step_start_w,gpu_power_step_end_w,gpu_power_data_transfer_start_w,gpu_power_data_transfer_end_w,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_data_transfer_j,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_overhead_j,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
26,251.131541,0.085331,76.39616,134.973746,37.825814,1.85049,3432.48876953125,10940.0,10615.47705078125,212.816,214.263,212.816,212.816,212.816,210.762,210.762,213.919,213.919,214.263,0.018159802096,16.17986633024,28.660392712513005,8.098166345074,0.395152709355,53.35173789927801,0.4445978158273167,37.0,96.0,76.0,0.5,2026-02-21T20:01:56.599241
27,252.354541,0.109462,77.140062,134.939745,37.904465,2.260807,3432.48876953125,10940.0,10615.47705078125,214.263,213.993,214.263,214.263,214.263,214.263,214.263,213.993,213.993,213.993,0.023453656506000002,16.528261104306,28.894377717359998,8.111290178745,0.48410208129599996,54.041484738213,0.450345706151775,37.0,95.0,75.0,0.5,2026-02-21T20:01:56.854286
28,252.357901,0.086621,77.388997,135.081047,37.930166,1.87107,3432.48876953125,10940.0,10615.47705078125,213.993,211.515,213.993,213.993,213.993,211.663,211.663,212.6,212.6,211.515,0.018536287653,16.470545453516,28.654945121680505,8.043376176545001,0.39807762677999997,53.585480666174504,0.44654567221812086,37.0,98.0,72.0,0.5,2026-02-21T20:01:57.108725
29,250.958009,0.086611,76.367121,134.853334,37.776523,1.87442,3432.48876953125,10940.0,10615.47705078125,211.515,212.419,211.515,211.515,211.515,213.062,213.062,212.419,212.419,212.419,0.018319525665,16.211861566408498,28.688765701827,8.024451239137,0.39731518413999994,53.340713217177495,0.44450594347647915,37.0,97.0,73.0,0.5,2026-02-21T20:01:57.361485
30,251.393746,0.084201,76.923378,134.577749,37.960086,1.848332,3432.48876953125,10940.0,10615.47705078125,212.419,212.124,212.419,212.419,212.419,210.393,210.393,211.715,211.715,212.124,0.017885892219000003,16.262063649468,28.403172237446,8.044482445077,0.39234820613800003,53.11995243034801,0.44266627025290006,37.0,97.0,77.0,0.5,2026-02-21T20:01:57.615000
31,251.785532,0.087051,76.960929,135.039098,37.806894,1.89156,3432.48876953125,10940.0,10615.47705078125,212.124,213.218,212.124,212.124,212.124,212.138,212.138,213.218,213.218,213.218,0.018465606324,16.325798829699,28.719845284444,8.061110324891999,0.40227995676,53.527500002119,0.4460625000176583,37.0,97.0,76.0,0.5,2026-02-21T20:01:57.868883
32,251.732821,0.085842,76.585863,134.912925,38.218981,1.92921,3432.48876953125,10940.0,10615.47705078125,213.218,215.214,213.218,213.218,213.218,210.206,210.206,215.214,215.214,215.214,0.018303059556,16.214146227456,28.697328276749996,8.225259776934,0.41326764936,53.568304990056,0.4464025415838,38.0,98.0,68.0,0.5,2026-02-21T20:01:58.122384
33,252.106567,0.090391,76.964039,135.313681,37.832534,1.905922,3432.48876953125,10940.0,10615.47705078125,215.214,214.563,215.214,215.214,215.214,214.002,214.002,214.563,214.563,214.563,0.019453408674,16.517098481712,28.9953538488825,8.117461992642,0.409560719697,54.05892845160749,0.4504910704300624,38.0,97.0,77.0,0.5,2026-02-21T20:01:58.376627
34,251.816392,0.086481,76.825177,135.024167,38.023487,1.85708,3432.48876953125,10940.0,10615.47705078125,214.563,214.143,214.563,214.563,214.563,211.359,211.359,214.143,214.143,214.143,0.018555622803,16.360766519096998,28.726526553417,8.142463576641001,0.39807066924000006,53.64638294119799,0.44705319117664993,38.0,96.0,76.0,0.5,2026-02-21T20:01:58.630680
35,251.516077,0.086692,76.568563,135.038387,37.955796,1.866639,3432.48876953125,10940.0,10615.47705078125,214.143,211.758,214.143,214.143,214.143,212.352,212.352,214.096,214.096,211.758,0.018564484956,16.3280546383425,28.793425029688002,8.081813774892002,0.3975017083695,53.619359636248,0.4468279969687333,38.0,97.0,76.0,0.5,2026-02-21T20:01:58.884313
36,251.378505,0.085612,76.672945,134.921665,37.835624,1.862659,3432.48876953125,10940.0,10615.47705078125,211.758,214.057,211.758,211.758,211.758,211.758,211.758,214.057,214.057,214.057,0.018129025896000003,16.236109487310003,28.725834390987497,8.098980166568,0.3965740710425,53.475627141804,0.44563022618169995,38.0,98.0,69.0,0.5,2026-02-21T20:01:59.137604
37,251.988975,0.086222,76.837427,134.891715,37.961436,2.212175,3432.48876953125,10940.0,10615.47705078125,214.057,212.018,214.057,214.057,214.057,211.706,211.706,213.977,213.977,212.018,0.018456422654,16.3572667159005,28.710554958172498,8.08569096441,0.4712762315624999,53.6432452926995,0.44702704410582916,38.0,97.0,77.0,0.5,2026-02-21T20:01:59.391786
38,251.800662,0.102971,76.656324,135.283051,37.852264,1.906052,3432.48876953125,10940.0,10615.47705078125,212.018,214.651,212.018,212.018,212.018,212.018,212.018,214.651,214.651,214.651,0.021831705478,16.252520501832,28.860542043559498,8.125026319864,0.406626650394,53.666547221127495,0.4472212268427291,38.0,96.0,76.0,0.5,2026-02-21T20:01:59.645795
39,251.603749,0.086751,76.605404,135.21078,37.823364,1.87745,3432.48876953125,10940.0,10615.47705078125,214.651,213.155,214.651,214.651,214.651,212.243,212.243,214.66,214.66,213.155,0.018621188901,16.351193667588,28.860943807170003,8.09070123483,0.40159218735,53.723052085839,0.447692100715325,39.0,99.0,73.0,0.5,2026-02-21T20:01:59.899201
40,251.853703,0.086371,76.944069,135.111488,37.856985,1.85479,3432.48876953125,10940.0,10615.47705078125,213.155,214.72,213.155,213.155,213.155,213.155,213.155,214.72,214.72,214.72,0.018410410505000002,16.401013027695,28.905413964,8.1286518192,0.39680913562500003,53.850298357025004,0.4487524863085417,39.0,97.0,71.0,0.5,2026-02-21T20:02:00.152831
41,251.758232,0.087652,76.794136,135.140829,37.840895,1.89472,3432.48876953125,10940.0,10615.47705078125,214.72,213.733,214.72,214.72,214.72,212.551,212.551,214.725,214.725,213.733,0.01882063744,16.405953641428,28.871216425901995,8.106617094954998,0.40589923407999995,53.80850703380499,0.4484042252817083,39.0,97.0,76.0,0.5,2026-02-21T20:02:00.406789
42,251.627269,0.086981,76.560693,135.27508,37.842374,1.862141,3432.48876953125,10940.0,10615.47705078125,213.733,214.585,213.733,213.733,213.733,215.156,215.156,214.585,214.585,214.585,0.018590710073000002,16.4180195300385,29.06662407714,8.12040582479,0.398794254419,54.0224343964605,0.45018695330383746,39.0,97.0,76.0,0.5,2026-02-21T20:02:00.660215
43,252.813478,0.087461,77.070541,135.766428,37.959286,1.929762,3432.48876953125,10940.0,10615.47705078125,214.585,214.282,214.585,214.585,214.585,212.563,212.563,215.119,215.119,214.282,0.018767818685,16.460263723534002,29.032428729948,8.149877683843,0.41380561982700004,54.075143575837004,0.4506261964653083,39.0,98.0,69.0,0.5,2026-02-21T20:02:00.914909
44,252.170267,0.092402,76.97966,135.26523,37.904496,1.928479,3432.48876953125,10940.0,10615.47705078125,214.282,214.743,214.282,214.282,214.282,214.334,214.334,214.743,214.743,214.743,0.019800085364000002,16.49735697528,29.019599546354996,8.139725184528,0.4136828514875,54.0901646430145,0.4507513720251208,39.0,97.0,75.0,0.5,2026-02-21T20:02:01.169210
45,251.531838,0.088692,76.601853,135.048218,37.816864,1.976211,3432.48876953125,10940.0,10615.47705078125,214.743,215.208,214.743,214.743,214.743,211.753,211.753,215.208,215.208,215.208,0.019045986156,16.335191948543997,28.830161102749,8.138491667712,0.42483694783049997,53.7477276529915,0.44789773044159586,40.0,96.0,76.0,0.5,2026-02-21T20:02:01.422557
46,252.020576,0.086541,76.816537,135.359793,37.871185,1.88652,3432.48876953125,10940.0,10615.47705078125,215.208,214.684,215.208,215.208,215.208,214.038,214.038,214.684,214.684,214.684,0.018624315528,16.486595620551,29.015860587273,8.13033748054,0.40549992792,54.056917931811995,0.4504743160984333,40.0,97.0,77.0,0.5,2026-02-21T20:02:01.676349
47,251.919244,0.086652,76.991649,135.1665,37.745133,1.92931,3432.48876953125,10940.0,10615.47705078125,214.684,214.909,214.684,214.684,214.684,211.769,211.769,214.909,214.909,214.909,0.018602797968,16.416659845498497,28.8362859435,8.111768787896999,0.41440903541499996,53.79772641027849,0.44831438675232077,40.0,99.0,69.0,0.5,2026-02-21T20:02:01.930416
48,251.872843,0.087212,76.708305,135.258191,37.845315,1.97382,3432.48876953125,10940.0,10615.47705078125,214.909,212.982,214.909,214.909,214.909,213.742,213.742,215.13,215.13,212.982,0.018742643708,16.4405458232775,29.004225445275996,8.10101674764,0.42228990680999995,53.98682056671149,0.44989017138926246,40.0,96.0,76.0,0.5,2026-02-21T20:02:02.184385
