step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_utilization,cpu_utilization,timestamp
88,251.805736,77.525557,135.482165,37.860619,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:11.143071
89,251.945038,77.188152,135.354122,38.392738,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:11.397196
90,251.219096,77.289164,135.20045,37.757938,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:47:11.650104
91,251.879267,77.538867,135.505155,37.850919,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:11.904248
92,251.633774,77.299874,135.545085,37.83972,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:12.158037
93,251.619683,77.208672,135.528745,37.90272,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:12.411357
94,251.810946,77.595918,135.410894,37.834659,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:47:12.664850
95,251.735305,77.421516,135.470494,37.88154,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:12.918672
96,251.939458,77.253433,135.530585,37.863539,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:13.172565
97,252.052719,77.774111,135.512905,37.806338,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:13.426315
98,251.788676,77.483436,135.599967,37.763278,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:13.681115
99,251.453971,77.201942,135.515125,37.767468,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:13.934242
100,251.873927,77.524007,135.543035,37.847349,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:14.187789
101,251.869196,77.556647,135.448324,37.91133,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:14.441725
