step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_step_j,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
45,251.384314,76.99518,135.078118,37.811591,3432.48876953125,10940.0,10615.47705078125,214.987,212.751,212.751,214.834,214.834,213.408,16.46688215142,28.878688542515,8.096255676511,53.441826370446,40.0,97.0,76.0,0.6,2026-02-20T14:43:03.556578
46,251.751193,77.271778,135.156949,37.839671,3432.48876953125,10940.0,10615.47705078125,213.408,213.408,213.408,214.856,214.856,214.856,16.490415599423997,28.941427803268,8.130080352376,53.561923755067994,40.0,97.0,76.0,0.5,2026-02-20T14:43:03.809991
47,251.612302,77.151307,135.128029,37.833981,3432.48876953125,10940.0,10615.47705078125,214.856,212.691,212.691,214.964,214.964,214.044,16.492904926964503,28.8940886209975,8.115540260424002,53.502533808386005,40.0,99.0,71.0,0.5,2026-02-20T14:43:04.063682
48,251.709892,76.997074,135.276651,37.947382,3432.48876953125,10940.0,10615.47705078125,214.044,215.404,215.404,214.852,214.852,214.852,16.533119717576,29.101795376328,8.153070917464001,53.787986011368,40.0,97.0,73.0,0.5,2026-02-20T14:43:04.317147
49,251.980478,77.463421,135.193659,37.854541,3432.48876953125,10940.0,10615.47705078125,214.852,212.688,212.688,215.197,215.197,214.366,16.55935550717,28.923669390607497,8.130455097791499,53.613479995568994,40.0,96.0,76.0,0.6,2026-02-20T14:43:04.570927
50,251.825024,77.303759,135.24053,37.826531,3432.48876953125,10940.0,10615.47705078125,214.366,214.594,214.594,214.989,214.989,214.989,16.580110230320003,29.048516299495,8.132288073159,53.760914602974,40.0,97.0,77.0,0.5,2026-02-20T14:43:04.824832
51,251.330906,77.007924,134.981326,37.875021,3432.48876953125,10940.0,10615.47705078125,214.989,212.133,212.133,215.487,215.487,215.487,16.445889257364,28.860357312060003,8.161574650227001,53.46782121965101,40.0,99.0,69.0,0.5,2026-02-20T14:43:05.077860
52,252.211261,77.422071,135.493614,37.839871,3432.48876953125,10940.0,10615.47705078125,215.487,214.373,214.373,214.877,214.877,214.877,16.64032572003,29.080316904750003,8.130917960867,53.851560585647,40.0,98.0,76.0,0.5,2026-02-20T14:43:05.331752
53,252.049608,77.269849,135.313462,37.986323,3432.48876953125,10940.0,10615.47705078125,214.877,211.991,211.991,215.245,215.245,215.245,16.492012951466002,28.905391125515997,8.176366094135,53.573770171117,40.0,97.0,76.0,0.5,2026-02-20T14:43:05.585920
54,251.746383,77.051905,135.135619,38.002394,3432.48876953125,10940.0,10615.47705078125,215.245,214.042,214.042,215.407,215.407,213.111,16.5386905708675,29.016928221965504,8.142354936046,53.697973728879006,41.0,97.0,76.0,0.5,2026-02-20T14:43:05.839375
55,252.176051,77.36369,135.338972,38.002664,3432.48876953125,10940.0,10615.47705078125,213.111,213.111,213.111,215.226,215.226,215.226,16.48705333959,28.985344624781998,8.179161362063999,53.651559326435994,41.0,99.0,69.0,0.5,2026-02-20T14:43:06.093265
56,251.582531,77.29214,134.962306,37.868801,3432.48876953125,10940.0,10615.47705078125,215.226,212.895,212.895,215.056,215.056,213.274,16.545194134469998,28.878626907503,8.110171766165001,53.533992808138,41.0,97.0,76.0,0.5,2026-02-20T14:43:06.346986
57,251.771914,77.001294,135.342832,37.922272,3432.48876953125,10940.0,10615.47705078125,213.274,213.274,213.274,215.449,215.449,215.449,16.422373976556,29.012292481768,8.170315580128001,53.60498203845201,41.0,96.0,76.0,0.5,2026-02-20T14:43:06.600886
58,251.719573,77.088376,135.281131,37.887271,3432.48876953125,10940.0,10615.47705078125,215.449,213.092,213.092,214.298,214.298,213.454,16.517764869708003,28.908901289044998,8.103177972396,53.529844131149005,40.0,99.0,72.0,0.5,2026-02-20T14:43:06.867724
